"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"dscovr:Ephemeris:2                      dscovr:right_ascension:1               ","Attribute","right_ascension","n/a","dscovr"," Geocentric right ascension angle. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:precession_ecliptic:1           ","Attribute","precession_ecliptic","n/a","dscovr"," Precession in the ecliptic angle. See the EPIC documentation. ","img","ASCII_Real","0","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:precession_equatorial:1         ","Attribute","precession_equatorial","n/a","dscovr"," Precession in the equatorial angle. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:x_position:1                    ","Attribute","x_position","n/a","dscovr"," X position in J2000 coordiantes, in km. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:y_position:1                    ","Attribute","y_position","n/a","dscovr"," Y position in J2000 coordiantes, in km. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:z_position:1                    ","Attribute","z_position","n/a","dscovr"," Z position in J2000 coordiantes, in km. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:x_velocity:1                    ","Attribute","x_velocity","n/a","dscovr"," X velocity in km/s. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Velocity","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:y_velocity:1                    ","Attribute","y_velocity","n/a","dscovr"," Y velocity in km/s. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Velocity","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:z_velocity:1                    ","Attribute","z_velocity","n/a","dscovr"," Z velocity in km/s. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Velocity","none","TBD_classConcept","REAL"
"dscovr:Quaternion:1                    ","Class","Quaternion","1.0.0.0","dscovr"," Specifies attitude from star tracker as a rotation. See the EPIC documentation. ","img","","","","","","","","","","",""
"dscovr:Quaternion:2                     dscovr:q0:1                            ","Attribute","q0","n/a","dscovr"," Quaternion component 0. See the EPIC documentation. ","img","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Quaternion:2                     dscovr:q1:1                            ","Attribute","q1","n/a","dscovr"," Quaternion component 1. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Quaternion:2                     dscovr:q2:1                            ","Attribute","q2","n/a","dscovr"," Quaternion component 2. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Quaternion:2                     dscovr:q3:1                            ","Attribute","q3","n/a","dscovr"," Quaternion component 3. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
